School,County,Date,Days 
432 Cons HSD 230,Cook,After 6/30,Remain Open for the entire year
433 East Prairie SD 73,Cook,After 6/30,Remain Open for the entire year
434 Flossmoor SD 161,Cook,After 6/30,Remain Open for the entire year
435 Orland SD 135,Cook,After 6/30,Remain Open for the entire year
436 Township HSD 211,Cook,After 6/30,Remain Open for the entire year
437 CHSD 218,Cook,After 6/30,Remain Open for the entire year
438 La Grange SD 105 South,Cook,After 6/30,Remain Open for the entire year
439 Lemont-Bromberek CSD 113A,Cook,After 6/30,Remain Open for the entire year
440 Willow Springs SD 108,Cook,After 6/30,Remain Open for the entire year
441 River Trails SD 26,Cook,After 6/30,Remain Open for the entire year
442 Lincolnwood SD 74,Cook,After 6/30,Remain Open for the entire year
443 Western Springs SD 101,Cook,After 6/30,Remain Open for the entire year
444 Wilmette SD 39,Cook,After 6/30,Remain Open for the entire year
445 Union Ridge SD 86,Cook,After 6/30,Remain Open for the entire year
446 Township HSD 214,Cook,After 6/30,Remain Open for the entire year
447 Lyons Twp HSD 204,Cook,After 6/30,Remain Open for the entire year
448 ESD 159,Cook,After 6/30,Remain Open for the entire year
449 Golf ESD 67,Cook,After 6/30,Remain Open for the entire year
450 Northbrook SD 28,Cook,After 6/30,Remain Open for the entire year
451 North Palos SD 117,Cook,After 6/30,Remain Open for the entire year
452 CCSD 146,Cook,After 6/30,Remain Open for the entire year
453 Ridgeland SD 122,Cook,After 6/30,Remain Open for the entire year
454 Northfield Twp HSD 225,Cook,After 6/30,Remain Open for the entire year
455 Thornton SD 154,Cook,After 6/30,Remain Open for the entire year
456 Riverside-Brookfield Twp SD 208,Cook,After 6/30,Remain Open for the entire year
457 Glenview CCSD 34,Cook,After 6/30,Remain Open for the entire year
458 Schaumburg CCSD 54,Cook,After 6/30,Remain Open for the entire year
459 Maine Township HSD 207,Cook,After 6/30,Remain Open for the entire year
460 Kirby SD 140,Cook,After 6/30,Remain Open for the entire year
461 Ridgewood CHSD 234,Cook,After 6/30,Remain Open for the entire year
462 Northbrook ESD 27,Cook,After 6/30,Remain Open for the entire year
463 Homewood Flossmoor CHSD 233,Cook,After 6/30,Remain Open for the entire year
464 Rhodes SD 84-5,Cook,After 6/30,Remain Open for the entire year
465 Palos CCSD 118,Cook,After 6/30,Remain Open for the entire year
466 Park Ridge CCSD 64,Cook,After 6/30,Remain Open for the entire year
467 LaGrange Highlands SD 106,Cook,After 6/30,Remain Open for the entire year
468 Palos Heights SD 128,Cook,After 6/30,Remain Open for the entire year
469 Northbrook/Glenview SD 30,Cook,After 6/30,Remain Open for the entire year
470 New Trier Twp HSD 203,Cook,After 6/30,Remain Open for the entire year
471 Lemont Twp HSD 210,Cook,After 6/30,Remain Open for the entire year
472 Pleasantdale SD 107,Cook,After 6/30,Remain Open for the entire year
473 Forest Park SD 91,Cook,After 6/30,Remain Open for the entire year
474 Hillside SD 93,Cook,After 6/30,Remain Open for the entire year
475 Kenilworth SD 38,Cook,After 6/30,Remain Open for the entire year
476 Lindop SD 92,Cook,After 6/30,Remain Open for the entire year
477 Skokie SD 68,Cook,After 6/30,Remain Open for the entire year
478 Franklin Park SD 84,Cook,After 6/30,Remain Open for the entire year
479 CCSD 62,Cook,After 6/30,Remain Open for the entire year
480 Skokie SD 73-5,Cook,After 6/30,Remain Open for the entire year
481 Central Stickney SD 110,Cook,After 6/30,Remain Open for the entire year
482 Evergreen Park CHSD 231,Cook,After 6/30,Remain Open for the entire year
483 Niles Twp CHSD 219,Cook,After 6/30,Remain Open for the entire year
484 Riverside SD 96,Cook,After 6/30,Remain Open for the entire year
485 Comm Cons SD 59,Cook,After 6/30,Remain Open for the entire year
486 River Forest SD 90,Cook,After 6/30,Remain Open for the entire year
487 Sunset Ridge SD 29,Cook,After 6/30,Remain Open for the entire year
488 Oak Park - River Forest SD 200,Cook,After 6/30,Remain Open for the entire year
489 Leyden CHSD 212,Cook,After 6/30,Remain Open for the entire year
490 South Holland SD 150,Cook,After 6/30,Remain Open for the entire year
491 Glencoe SD 35,Cook,After 6/30,Remain Open for the entire year
492 Winnetka SD 36,Cook,After 6/30,Remain Open for the entire year
493 Mannheim SD 83,Cook,After 6/30,Remain Open for the entire year
494 Fairview SD 72,Cook,After 6/30,Remain Open for the entire year
495 Niles ESD 71,Cook,After 6/30,Remain Open for the entire year
496 Morton Grove SD 70,Cook,After 6/30,Remain Open for the entire year
497 Alsip-Hazlgrn-Oaklwn SD 126,Cook,After 6/30,Remain Open for the entire year
130 Oblong CUSD 4,Crawford,3/6/2017,193
133 Palestine CUSD 3,Crawford,3/7/2017,194
137 Hutsonville CUSD 1,Crawford,3/11/2017,198
498 Robinson CUSD 2,Crawford,After 6/30,Remain Open for the entire year
71 Neoga CUSD 3,Cumberland,1/25/2017,153
149 Cumberland CUSD 77,Cumberland,3/20/2017,207
94 Sandwich CUSD 430,Dekalb,2/7/2017,166
217 Sycamore CUSD 427,Dekalb,4/22/2017,240
229 DeKalb CUSD 428,Dekalb,4/27/2017,245
499 Genoa Kingston CUSD 424,Dekalb,After 6/30,Remain Open for the entire year
500 Somonauk CUSD 432,Dekalb,After 6/30,Remain Open for the entire year
501 Hiawatha CUSD 426,Dekalb,After 6/30,Remain Open for the entire year
502 Hinckley Big Rock CUSD 429,Dekalb,After 6/30,Remain Open for the entire year
503 Indian Creek CUSD 425,Dekalb,After 6/30,Remain Open for the entire year
504 Blue Ridge CUSD 18,Dewitt,After 6/30,Remain Open for the entire year
505 Clinton CUSD 15,Dewitt,After 6/30,Remain Open for the entire year
219 Villa Grove CUSD 302,Douglas,4/23/2017,241
506 Tuscola CUSD 301,Douglas,After 6/30,Remain Open for the entire year
507 Arcola CUSD 306,Douglas,After 6/30,Remain Open for the entire year
193 Bensenville SD 2,Dupage,4/8/2017,226
279 Queen Bee SD 16,Dupage,5/19/2017,267
292 CHSD 99,Dupage,5/24/2017,272
508 Hinsdale Twp HSD 86,Dupage,After 6/30,Remain Open for the entire year
509 CUSD 200,Dupage,After 6/30,Remain Open for the entire year
510 Cass SD 63,Dupage,After 6/30,Remain Open for the entire year
511 Du Page HSD 88,Dupage,After 6/30,Remain Open for the entire year
512 Keeneyville SD 20,Dupage,After 6/30,Remain Open for the entire year
513 Indian Prairie CUSD 204,Dupage,After 6/30,Remain Open for the entire year
514 West Chicago ESD 33,Dupage,After 6/30,Remain Open for the entire year
515 Fenton CHSD 100,Dupage,After 6/30,Remain Open for the entire year
516 Glen Ellyn SD 41,Dupage,After 6/30,Remain Open for the entire year
517 Roselle SD 12,Dupage,After 6/30,Remain Open for the entire year
518 SD 45 DuPage County,Dupage,After 6/30,Remain Open for the entire year
519 Lake Park CHSD 108,Dupage,After 6/30,Remain Open for the entire year
520 Downers Grove SD 58,Dupage,After 6/30,Remain Open for the entire year
521 CCSD 180,Dupage,After 6/30,Remain Open for the entire year
522 Hinsdale CCSD 181,Dupage,After 6/30,Remain Open for the entire year
523 Darien SD 61,Dupage,After 6/30,Remain Open for the entire year
524 CUSD 201,Dupage,After 6/30,Remain Open for the entire year
525 Elmhurst SD 205,Dupage,After 6/30,Remain Open for the entire year
526 CHSD 94,Dupage,After 6/30,Remain Open for the entire year
527 Salt Creek SD 48,Dupage,After 6/30,Remain Open for the entire year
528 Glenbard Twp HSD 87,Dupage,After 6/30,Remain Open for the entire year
529 Wood Dale SD 7,Dupage,After 6/30,Remain Open for the entire year
530 Downers Grove GSD 58,Dupage,After 6/30,Remain Open for the entire year
531 CCSD 89,Dupage,After 6/30,Remain Open for the entire year
532 Maercker SD 60,Dupage,After 6/30,Remain Open for the entire year
533 Butler SD 53,Dupage,After 6/30,Remain Open for the entire year
534 Winfield SD 34,Dupage,After 6/30,Remain Open for the entire year
535 Naperville CUSD 203,Dupage,After 6/30,Remain Open for the entire year
536 Addison SD 4,Dupage,After 6/30,Remain Open for the entire year
537 Center Cass SD 66,Dupage,After 6/30,Remain Open for the entire year
538 Marquardt SD 15,Dupage,After 6/30,Remain Open for the entire year
539 CCSD 93,Dupage,After 6/30,Remain Open for the entire year
540 Benjamin SD 25,Dupage,After 6/30,Remain Open for the entire year
541 Lombard SD 44,Dupage,After 6/30,Remain Open for the entire year
542 Bloomingdale SD 13,Dupage,After 6/30,Remain Open for the entire year
543 Gower SD 62,Dupage,After 6/30,Remain Open for the entire year
544 Itasca SD 10,Dupage,After 6/30,Remain Open for the entire year
545 Woodridge SD 68,Dupage,After 6/30,Remain Open for the entire year
546 Medinah SD 11,Dupage,After 6/30,Remain Open for the entire year
547 Lisle CUSD 202,Dupage,After 6/30,Remain Open for the entire year
121 Paris-Union SD 95,Edgar,2/25/2017,184
307 Edgar County CUD 6,Edgar,5/30/2017,278
313 Paris CUSD 4,Edgar,6/2/2017,Remain Open for the entire year
548 Kansas CUSD 3,Edgar,After 6/30,Remain Open for the entire year
549 Shiloh CUSD 1,Edgar,After 6/30,Remain Open for the entire year
114 Edwards County CUSD 1,Edwards,2/22/2017,181
76 Altamont CUSD 10,Effingham,1/29/2017,157
550 Effingham CUSD 40,Effingham,After 6/30,Remain Open for the entire year
551 Dieterich CUSD 30,Effingham,After 6/30,Remain Open for the entire year
552 Teutopolis CUSD 50,Effingham,After 6/30,Remain Open for the entire year
553 Beecher City CUSD 20,Effingham,After 6/30,Remain Open for the entire year
144 Vandalia CUSD 203,Fayette,3/17/2017,204
158 Ramsey CUSD 204,Fayette,3/23/2017,210
223 St Elmo CUSD 202,Fayette,4/25/2017,243
251 Brownstown CUSD 201,Fayette,5/5/2017,253
554 Paxton-Buckley-Loda CUD 10,Ford,After 6/30,Remain Open for the entire year
555 Gibson City-Melvin-Sibley CUSD 5,Ford,After 6/30,Remain Open for the entire year
1 Frankfort CUSD 168,Franklin,8/31/2016,6
3 Zeigler-Royalton CUSD 188,Franklin,9/14/2016,20
39 Benton CCSD 47,Franklin,12/25/2016,122
77 Christopher USD 99,Franklin,1/29/2017,157
93 Thompsonville CUSD 174,Franklin,2/6/2017,165
190 Sesser-Valier CUSD 196,Franklin,4/7/2017,225
254 Benton Cons HSD 103,Franklin,5/6/2017,254
302 Ewing Northern CCSD 115,Franklin,5/29/2017,277
556 Akin CCSD 91,Franklin,After 6/30,Remain Open for the entire year
245 Lewistown CUSD 97,Fulton,5/3/2017,251
314 CUSD 3 Fulton County,Fulton,6/2/2017,Remain Open for the entire year
557 Astoria CUSD 1,Fulton,After 6/30,Remain Open for the entire year
558 Canton Union SD 66,Fulton,After 6/30,Remain Open for the entire year
559 Spoon River Valley CUSD 4,Fulton,After 6/30,Remain Open for the entire year
560 V I T CUSD 2,Fulton,After 6/30,Remain Open for the entire year
168 Gallatin CUSD 7,Gallatin,3/26/2017,213
